id,motivating_factors,personal_traits,techical_know_how,social_characteristics
1,0.06,0.19,0.91,0.82
2,0.59,0.89,0.08,0.88
3,0.58,0.13,0.64,0.17
4,0.48,0.22,0.72,0.71
5,0.54,0.76,0.79,0.89
6,0.23,0.1,0.99,0.3
7,0.62,0.12,0.8,1
8,0.86,0.84,0.95,0.12
9,0.94,0.31,0.67,0.6
10,0.75,0.82,0.78,0.04
11,0.26,0.55,0.26,0.95
12,0.11,0.3,0.88,0.55
13,0.19,0.04,0.53,0.8
14,0.24,0.3,0.57,0.44
15,0.29,0.23,0.87,0.38
16,0.84,0.01,0.58,0.45
17,0.11,0.77,0.21,0.27
18,0.68,0.99,0.52,0.68
19,0.46,0.61,0.37,0.48
20,0.48,0.1,0.47,0.61
21,0.84,0.26,0.35,0.54
22,0.09,0.83,0.4,0.85
23,0.75,0.4,0.08,0.2
24,0.99,0.59,0.02,0.1
25,0.6,0.39,0.03,0.25
26,0.87,0.89,0.48,0.96
27,0.2,0.65,0.91,0.5
28,0.3,0.5,0.72,0.83
29,0.68,0.85,0.68,0.13
30,0.28,0.59,0.13,0.13
31,0.53,0.36,0.78,0.8
32,0.45,0.24,0.67,0.22
33,0.28,0.19,0,0.56
34,0.59,0.99,0.2,0.29
35,0.03,0.55,0.42,0.75
36,0.54,0.59,0.57,0.42
37,0.48,0.48,0.69,0.48
38,0.98,0.22,0.53,0.05
39,0.97,0.34,0.06,0.84
40,0.9,0.58,0.61,0.36
41,0.28,0.17,0.33,0.2
42,0.12,0.86,0.69,0.84
43,0.64,0.97,0.11,0.14
44,0.96,0.3,0.94,0.61
45,0.5,0.22,0.52,0.21
46,0.08,0.08,0.21,1
47,0.06,0.22,0.28,0.77
48,0.53,0.21,0.03,0.3
49,1,0.66,0.48,0.33
50,0.69,0.77,0.75,0.28
51,0.95,0.97,0.54,0.96
52,0.9,0.1,0.48,0.1
53,0.24,0.83,0.98,0.56
54,0.08,0.15,0.75,0.35
55,0.73,0.39,0.3,0.7
56,0.29,0.35,0.27,0.91
57,0.82,0.78,0.66,0.08
58,0.27,0.78,0.67,0.62
59,0.83,0.91,0.74,0.12
60,0.82,0.92,0.06,0.8
61,0.42,0.02,0.77,0.98
62,0.37,0,0.69,0.9
63,0.67,0.1,0.6,0.54
64,0.26,0.29,0.64,0.56
65,0.22,0.46,0.29,0.76
66,0.21,0.45,0.61,0.47
67,0.53,0.92,0.27,0.09
68,0.23,0.74,0.03,0.42
69,0.48,0.26,0.9,0.25
70,0.92,0.98,0.8,0.86
71,0.86,0.77,0.52,0.37
72,0.27,0.55,0.86,0
73,0.92,0.8,0.35,0.33
74,0.25,0.75,0.6,1
75,0.59,0.89,0.16,0.65
76,0.73,0.46,0.21,0.19
77,0.65,0.89,0.04,0.2
78,0.32,0.43,0.01,0.29
79,0.32,0.04,0.92,0.02
80,0.74,0.87,0.57,0.19
81,0.03,0.08,0.18,0.18
82,0.4,0.9,0.18,0.69
83,0.64,0.22,0.59,0.98
84,0.09,0.63,0.24,0.08
85,0.42,0.14,0.2,0.65
86,0.4,0.07,0.47,0.7
87,0.88,0.8,0.72,0.6
88,0.02,0.21,0.37,0.58
89,0.15,0.37,0.01,0.55
90,0.35,0.27,0.1,0.56
91,0.57,0.08,0.09,0.9
92,0.09,0.14,0.75,0.63
93,0.43,0.58,0.44,0.93
94,0.56,0.33,0.41,0.97
95,0.07,0.28,0.14,0.23
96,0.21,0.53,0.95,0.21
97,0.5,0.08,0.86,0.17
98,0.7,0.25,0.19,0.04
99,0.53,0.77,0.38,0.13
100,0.35,0.08,0.82,0.54
101,0.06,0.97,0.29,0.87
102,0.17,0.78,0.84,0.67
103,0.08,0.62,0.48,0.83
104,0.54,0.3,0.12,0.98
105,0.86,0.06,0.44,0.19
106,0.14,0.01,0.04,0.94
107,0.27,0.18,0.72,0.03
108,0.64,0.59,0.06,0.76
109,0.27,0.89,0.06,0.68
110,0.39,0.4,0.39,0.3
111,0.81,0.53,0.77,0.13
112,0.27,0.94,0.09,0.67
113,0.06,0.03,0.32,0.37
114,0.51,0.07,0.8,0.65
115,0.26,0.13,0.81,0.4
116,0.89,0.3,0.1,0.73
117,0.47,0.28,0.28,0.3
118,0.44,0.64,0.81,0.42
119,0.35,0,0.52,0.25
120,0.08,0.62,0.5,0.53
121,0.55,0.15,0.86,0.94
122,0.69,0.91,0.4,0.86
123,0.4,0.66,0.9,0.59
124,0.72,0.78,0.21,0.22
125,0.97,0.27,0.08,0.25
126,0.68,0.91,0.82,0.26
127,0.19,0.74,0.53,0.75
128,0.04,0.43,0.58,0.28
129,0.4,0.87,0.95,0.94
130,0.1,0.65,0.62,0.25
131,0.55,0.9,0.4,0.1
132,0.05,0.81,0.27,0.05
133,0.16,0.89,0.94,0.77
134,0.82,0.81,0.96,0.06
135,0.48,0.05,0.95,0.53
136,0.76,0.07,0.73,0.64
137,0.29,0.24,0.79,0.09
138,0.01,0.72,0.91,0.79
139,0.36,0.22,0.87,0.46
140,0.23,0.15,0.88,0.37
141,0.76,0.91,0.1,0.89
142,0.85,0.59,0.69,0.52
143,0.47,0.6,0.74,0.61
144,0.62,0.29,0.33,0.01
145,0.03,0.26,0.17,0.6
146,0.92,0.34,0.47,0.24
147,0.73,0.72,0.9,0.5
148,0.76,0.62,0.89,0.89
149,0.88,0.58,0.09,0.69
150,0.85,0.28,0.16,0.6
151,0.24,0.68,0.94,0.5
152,0.36,0.56,0.99,0.47
153,0.1,0.03,0.21,0.32
154,0.89,0.06,0.22,0.61
155,0.82,0.6,0.43,0.04
156,0.35,0.16,0.62,0.96
157,0.93,0.63,0.71,0.02
158,0.31,0.67,0.07,0.05
159,0.69,0.65,0.06,0.6
160,0.42,0.71,0.19,0.3
161,0.62,0.32,0.14,0.67
162,0.16,0.92,0.21,0.86
163,0.32,0.9,0.59,0.87
164,0.11,0.44,0.74,0.29
165,0.7,0.22,0.65,0.8
166,0.04,0.97,0.36,0.61
167,0.32,0.83,0.39,0.01
168,0.96,0.43,0.57,0.07
169,0.73,0.13,0.49,0.59
170,0.4,0.21,0.3,0.99
171,0.81,0.23,0.04,0.07
172,0,0.77,0.6,0.81
173,0.74,0.8,0.54,0.62
174,0.8,0.59,0.43,0.69
175,0.65,0.2,1,0.47
176,0.72,0.14,0.65,0.97
177,0.31,0.53,0.86,0.83
178,0.86,0.03,0.46,0.39
179,0.74,0.14,0.55,0.8
